refund_request_id,challenge_customer_id,mapping_purpose
v2_rr_0010962,v2_cold_000000,separate_cold_start_challenge
v2_rr_0011511,v2_cold_000001,separate_cold_start_challenge
v2_rr_0009986,v2_cold_000002,separate_cold_start_challenge
v2_rr_0011863,v2_cold_000003,separate_cold_start_challenge
v2_rr_0010830,v2_cold_000004,separate_cold_start_challenge
v2_rr_0010252,v2_cold_000005,separate_cold_start_challenge
v2_rr_0011215,v2_cold_000006,separate_cold_start_challenge
v2_rr_0011005,v2_cold_000007,separate_cold_start_challenge
v2_rr_0010249,v2_cold_000008,separate_cold_start_challenge
v2_rr_0011983,v2_cold_000009,separate_cold_start_challenge
v2_rr_0010255,v2_cold_000010,separate_cold_start_challenge
v2_rr_0011928,v2_cold_000011,separate_cold_start_challenge
v2_rr_0009781,v2_cold_000012,separate_cold_start_challenge
v2_rr_0011507,v2_cold_000013,separate_cold_start_challenge
v2_rr_0011860,v2_cold_000014,separate_cold_start_challenge
v2_rr_0010715,v2_cold_000015,separate_cold_start_challenge
v2_rr_0011485,v2_cold_000016,separate_cold_start_challenge
v2_rr_0009676,v2_cold_000017,separate_cold_start_challenge
v2_rr_0010387,v2_cold_000018,separate_cold_start_challenge
v2_rr_0011659,v2_cold_000019,separate_cold_start_challenge
v2_rr_0009792,v2_cold_000020,separate_cold_start_challenge
v2_rr_0010440,v2_cold_000021,separate_cold_start_challenge
v2_rr_0011925,v2_cold_000022,separate_cold_start_challenge
v2_rr_0010737,v2_cold_000023,separate_cold_start_challenge
v2_rr_0011899,v2_cold_000024,separate_cold_start_challenge
v2_rr_0011605,v2_cold_000025,separate_cold_start_challenge
v2_rr_0009601,v2_cold_000026,separate_cold_start_challenge
v2_rr_0010446,v2_cold_000027,separate_cold_start_challenge
v2_rr_0010107,v2_cold_000028,separate_cold_start_challenge
v2_rr_0011816,v2_cold_000029,separate_cold_start_challenge
v2_rr_0011911,v2_cold_000030,separate_cold_start_challenge
v2_rr_0011684,v2_cold_000031,separate_cold_start_challenge
v2_rr_0011403,v2_cold_000032,separate_cold_start_challenge
v2_rr_0011857,v2_cold_000033,separate_cold_start_challenge
v2_rr_0011675,v2_cold_000034,separate_cold_start_challenge
v2_rr_0010732,v2_cold_000035,separate_cold_start_challenge
v2_rr_0011442,v2_cold_000036,separate_cold_start_challenge
v2_rr_0011319,v2_cold_000037,separate_cold_start_challenge
v2_rr_0011536,v2_cold_000038,separate_cold_start_challenge
v2_rr_0010927,v2_cold_000039,separate_cold_start_challenge
v2_rr_0011503,v2_cold_000040,separate_cold_start_challenge
v2_rr_0009877,v2_cold_000041,separate_cold_start_challenge
v2_rr_0010197,v2_cold_000042,separate_cold_start_challenge
v2_rr_0010992,v2_cold_000043,separate_cold_start_challenge
v2_rr_0009976,v2_cold_000044,separate_cold_start_challenge
v2_rr_0011255,v2_cold_000045,separate_cold_start_challenge
v2_rr_0009897,v2_cold_000046,separate_cold_start_challenge
v2_rr_0011962,v2_cold_000047,separate_cold_start_challenge
v2_rr_0010019,v2_cold_000048,separate_cold_start_challenge
