customer_id,created_at,country,account_status
cus_380d49d50bf43fb9,2009-12-13T08:34:00Z,United Kingdom,active
cus_1476150932503153,2010-10-30T14:20:00Z,Iceland,active
cus_a9330a5154c69a43,2010-09-26T14:59:00Z,Finland,active
cus_f8c774e7a9ae9f1d,2009-12-03T12:49:00Z,Italy,active
cus_bfb699ab1c872a15,2011-02-01T16:01:00Z,Norway,active
cus_99cb4ae125873718,2010-11-11T10:20:00Z,Norway,active
cus_bd31dfe7113199b9,2010-10-10T09:42:00Z,Portugal,active
cus_4414ad0cc88906db,2010-11-15T10:05:00Z,Switzerland,active
cus_cd1e8cac35faf9e0,2009-12-07T07:59:00Z,Austria,active
cus_70a676e841a6a7de,2009-12-04T13:32:00Z,Cyprus,active
cus_867748f8909380f6,2010-02-21T09:32:00Z,Austria,active
cus_78f6d3a50e5ec714,2010-01-25T14:37:00Z,Belgium,active
cus_c50a51d8e904625d,2009-11-30T10:10:00Z,Belgium,active
cus_96a43f27a2a7dac4,2011-08-18T15:24:00Z,Belgium,active
cus_54c1038b5cb9f000,2010-03-07T08:09:00Z,Austria,active
cus_34a7bc692f672c8c,2010-02-08T09:41:00Z,Austria,active
cus_1b388ff341a7d687,2010-03-03T18:23:00Z,Switzerland,active
cus_e270a8e982dd96f1,2010-02-03T12:08:00Z,Austria,active
cus_e33aa5380232cd8d,2010-04-29T14:01:00Z,Austria,active
cus_a37f2b11bbfba1d7,2010-10-17T08:42:00Z,Switzerland,active
cus_6571d3b883a5de2c,2010-04-28T15:34:00Z,Switzerland,active
cus_72a8aee49c47bce8,2010-05-25T14:07:00Z,Switzerland,active
cus_f7bb6b6224b51b13,2010-06-22T12:49:00Z,Belgium,active
cus_82f857bce72d108b,2010-02-14T12:05:00Z,Belgium,active
cus_97c508b2f9718a96,2010-12-21T14:28:00Z,Belgium,active
cus_748b1efd6633e81e,2010-12-07T09:53:00Z,Australia,active
cus_4c263a80e5526eb6,2010-05-05T12:54:00Z,Australia,active
cus_a0452a2fa2ef06c2,2011-09-20T09:33:00Z,Belgium,active
cus_f0f22bb5a7cadd36,2010-10-06T13:49:00Z,Australia,active
cus_2a74085f85fdd487,2010-04-15T10:16:00Z,Belgium,active
cus_88786ebc52e19b0d,2010-02-02T13:22:00Z,RSA,active
cus_ce09c51c160c9c8e,2011-10-24T10:27:00Z,Switzerland,active
cus_68ecbf3e72511056,2010-03-04T08:45:00Z,Belgium,active
cus_42227f12b7fa4db9,2010-10-20T13:45:00Z,Australia,active
cus_f16e60c7b35c873f,2011-02-08T13:50:00Z,Belgium,active
cus_ac872ffdf439d637,2010-02-06T12:41:00Z,Belgium,active
cus_2a5c415bd69d6479,2010-07-05T11:39:00Z,Denmark,active
cus_1680d1adf13a69af,2010-01-10T14:04:00Z,Denmark,active
cus_bc2b75257004227b,2011-03-19T13:21:00Z,Belgium,active
cus_229ed25c09490f4a,2010-07-28T13:27:00Z,Belgium,active
cus_e44f180b7b48752f,2010-05-22T15:21:00Z,Switzerland,active
cus_36392b786bb55be4,2010-06-17T13:22:00Z,Denmark,active
cus_a4c6bdeb28821d0c,2010-11-01T13:26:00Z,Spain,active
cus_00cf655c5aaa2e44,2010-09-01T12:22:00Z,Austria,active
cus_fc482dba4dce060e,2010-06-29T08:30:00Z,Australia,active
cus_e341cc4ee468825c,2010-02-20T10:19:00Z,Australia,active
cus_2acf6803167e7e47,2009-12-05T10:30:00Z,Belgium,active
cus_71daa2e80e2fce53,2010-10-21T10:40:00Z,Spain,active
cus_bf96e696685ac920,2010-07-21T13:57:00Z,Spain,active
cus_ec92b8c64e1ac8e9,2009-12-17T12:44:00Z,Australia,active
cus_ecd96d84cf1e98cd,2010-08-30T09:31:00Z,Denmark,active
cus_f302925812a3cd1d,2009-12-06T14:43:00Z,Australia,active
cus_216ac3d1e6c0c88e,2010-12-02T10:44:00Z,Germany,active
cus_df401e7b2048176a,2011-02-28T09:33:00Z,Finland,active
cus_c16fe2713b98288a,2010-06-10T13:28:00Z,Denmark,active
cus_dc9ed09a2e1e8586,2010-01-14T09:04:00Z,Belgium,active
cus_17e4702dc22bc102,2011-06-19T13:27:00Z,Norway,active
cus_8881e46ae9375249,2010-08-19T09:23:00Z,Norway,active
cus_c5dda1c18297eb63,2010-11-22T13:38:00Z,Australia,active
cus_1de9185b3862704b,2009-12-01T13:58:00Z,Denmark,active
cus_89617f78ecf73736,2009-12-01T16:24:00Z,France,active
cus_70fa4c9b15b1545a,2009-12-21T12:03:00Z,Austria,active
cus_3ad0740f948648a2,2011-06-20T14:00:00Z,Norway,active
cus_ffe2845dad770453,2010-10-14T12:28:00Z,Spain,active
cus_038ecb9c322ca2c4,2010-09-26T09:37:00Z,Denmark,active
cus_be9ac2d7367ef2d7,2010-08-21T13:11:00Z,Spain,active
cus_9402a64a942d4be0,2010-06-27T12:58:00Z,Switzerland,active
cus_ebfa525604e130e0,2010-01-25T16:24:00Z,Spain,active
cus_5d1c110eea1a206f,2009-12-17T12:33:00Z,Cyprus,active
cus_cdbeb000bef5717b,2011-03-29T09:12:00Z,Switzerland,active
cus_21dfee5c00cd71c3,2010-09-29T17:59:00Z,Switzerland,active
cus_443fe248973f571a,2010-08-08T10:33:00Z,Switzerland,active
cus_bea1e8e11e0323aa,2011-04-11T12:47:00Z,Belgium,active
cus_dd54d377db83ee1b,2011-02-02T13:30:00Z,Belgium,active
cus_79a45b071bf5f012,2010-01-18T12:13:00Z,Germany,active
cus_34371dc52c585da0,2009-12-01T14:43:00Z,Germany,active
cus_1068684a19fdd373,2009-12-08T10:47:00Z,Germany,active
cus_f2b6ca695c0e855b,2011-05-31T10:15:00Z,Germany,active
cus_b11b13ee72bf7f0f,2010-02-10T09:41:00Z,Germany,active
cus_25543c608732100b,2010-07-25T09:04:00Z,Germany,active
cus_d83417ec28a50c85,2010-03-25T14:01:00Z,Germany,active
cus_6ac09c686a58fff0,2011-11-27T13:26:00Z,Germany,active
cus_3f5aefeb80501c00,2010-07-19T13:21:00Z,Germany,active
cus_ba989bb431d49565,2010-04-10T13:10:00Z,Germany,active
cus_45d2ed7d58310fa9,2010-02-23T10:24:00Z,Sweden,active
cus_230e38b0137a29b9,2010-01-30T13:28:00Z,Sweden,active
cus_7e841e43940e44c7,2009-12-02T10:57:00Z,Spain,active
cus_e3096e07980aa353,2010-06-27T15:22:00Z,Sweden,active
cus_3e1d66f16fb35d15,2010-10-03T12:14:00Z,Sweden,active
cus_9691e8c51865f146,2009-11-30T12:52:00Z,France,active
cus_488a10e3d1868d78,2011-05-25T14:53:00Z,France,active
cus_103e73101bd1d3a3,2010-05-11T13:52:00Z,France,active
cus_21622a0c13c03181,2010-03-28T13:57:00Z,Spain,active
cus_5bd047259e38d1c3,2010-01-25T17:21:00Z,Germany,active
