order_id,customer_id,ordered_at,delivered_at,currency,gross_amount_paise,item_count,category,shipping_address_id,device_id
ord_0000043,cus_96045bcde49cc135,2009-12-01T12:33:00Z,2009-12-05 12:33:00+00:00,INR,4823000,232,uci_product_group_36,addr_96045bcde49cc135,dev_96045bcde49cc135
ord_0000258,cus_e9cde47ec7cedcf8,2009-12-03T11:46:00Z,2009-12-06 11:46:00+00:00,INR,1145500,115,uci_product_group_f7,addr_e9cde47ec7cedcf8,dev_e9cde47ec7cedcf8
ord_0000181,cus_330a9d80451607f8,2009-12-02T13:10:00Z,2009-12-07 13:10:00+00:00,INR,1100500,35,uci_product_group_18,addr_330a9d80451607f8,dev_330a9d80451607f8
ord_0000064,cus_1468e23ed7d1bf0e,2009-12-01T13:47:00Z,2009-12-06 13:47:00+00:00,INR,2939500,125,uci_product_group_44,addr_1468e23ed7d1bf0e,dev_1468e23ed7d1bf0e
ord_0000071,cus_eae4b24c8f9a6216,2009-12-01T14:19:00Z,2009-12-03 14:19:00+00:00,INR,3193800,180,simulated_defect_batch,v2_shared_address_0004,dev_eae4b24c8f9a6216
ord_0000060,cus_e465792364650445,2009-12-01T13:37:00Z,2009-12-07 13:37:00+00:00,INR,3672800,300,uci_product_group_e3,addr_e465792364650445,dev_e465792364650445
ord_0000133,cus_a4a30e55ced50f92,2009-12-02T10:15:00Z,2009-12-07 10:15:00+00:00,INR,2666000,116,uci_product_group_61,addr_a4a30e55ced50f92,dev_a4a30e55ced50f92
ord_0000134,cus_b94c22463dc33fb2,2009-12-02T10:41:00Z,2009-12-05 10:41:00+00:00,INR,2215300,113,uci_product_group_4a,addr_b94c22463dc33fb2,dev_b94c22463dc33fb2
ord_0000087,cus_f996198d06925dcd,2009-12-01T14:56:00Z,2009-12-07 14:56:00+00:00,INR,4993600,47,uci_product_group_62,addr_f996198d06925dcd,dev_f996198d06925dcd
ord_0000492,cus_49caae89d8a88b32,2009-12-06T12:10:00Z,2009-12-08 12:10:00+00:00,INR,1182600,43,uci_product_group_39,addr_49caae89d8a88b32,v2_shared_device_0009
ord_0000107,cus_bbba1b2dc00e5f52,2009-12-01T17:19:00Z,2009-12-06 17:19:00+00:00,INR,2221200,115,uci_product_group_73,addr_bbba1b2dc00e5f52,dev_bbba1b2dc00e5f52
ord_0000061,cus_de6805b88366d5d2,2009-12-01T13:38:00Z,2009-12-04 13:38:00+00:00,INR,3196600,178,uci_product_group_49,addr_de6805b88366d5d2,dev_de6805b88366d5d2
ord_0000102,cus_0e7056a60caf574f,2009-12-01T16:30:00Z,2009-12-03 16:30:00+00:00,INR,8575400,297,uci_product_group_a0,addr_0e7056a60caf574f,dev_0e7056a60caf574f
ord_0000427,cus_ec18f93dc434def9,2009-12-04T15:29:00Z,2009-12-07 15:29:00+00:00,INR,9900000,600,uci_product_group_d4,addr_ec18f93dc434def9,dev_ec18f93dc434def9
ord_0000074,cus_fcfeb2607944cf3c,2009-12-01T14:35:00Z,2009-12-06 14:35:00+00:00,INR,8223700,575,uci_product_group_6d,addr_fcfeb2607944cf3c,v2_shared_device_0014
ord_0000092,cus_e7780fdbd297bc56,2009-12-01T14:59:00Z,2009-12-05 14:59:00+00:00,INR,63500,1,uci_product_group_2e,addr_e7780fdbd297bc56,dev_e7780fdbd297bc56
ord_0000227,cus_7ca596803bff0a1d,2009-12-02T16:52:00Z,2009-12-04 16:52:00+00:00,INR,47342400,3200,uci_product_group_c4,addr_7ca596803bff0a1d,v2_shared_device_0016
ord_0000034,cus_2b3a0cbf66f48187,2009-12-01T12:14:00Z,2009-12-03 12:14:00+00:00,INR,6333300,250,uci_product_group_b1,addr_2b3a0cbf66f48187,dev_2b3a0cbf66f48187
ord_0000200,cus_b8f446b2ec423670,2009-12-02T14:22:00Z,2009-12-06 14:22:00+00:00,INR,897000,6,uci_product_group_e2,addr_b8f446b2ec423670,dev_b8f446b2ec423670
ord_0000237,cus_84f1a20f056a895d,2009-12-03T09:52:00Z,2009-12-07 09:52:00+00:00,INR,1191000,18,uci_product_group_76,addr_84f1a20f056a895d,dev_84f1a20f056a895d
ord_0000417,cus_df921be8d7056452,2009-12-04T14:37:00Z,2009-12-09 14:37:00+00:00,INR,7265700,289,uci_product_group_88,addr_df921be8d7056452,dev_df921be8d7056452
ord_0000396,cus_bddc482fb8d8ec39,2009-12-04T12:41:00Z,2009-12-10 12:41:00+00:00,INR,1079500,43,uci_product_group_05,addr_bddc482fb8d8ec39,dev_bddc482fb8d8ec39
ord_0000348,cus_548aa41a5dbb6651,2009-12-03T18:23:00Z,2009-12-10 18:23:00+00:00,INR,2367000,150,uci_product_group_32,addr_548aa41a5dbb6651,dev_548aa41a5dbb6651
ord_0000058,cus_bb7f365ec9cd7c77,2009-12-01T13:29:00Z,2009-12-07 13:29:00+00:00,INR,5800200,306,simulated_defect_batch,addr_bb7f365ec9cd7c77,dev_bb7f365ec9cd7c77
ord_0000150,cus_86b13af6f4bdb548,2009-12-02T11:34:00Z,2009-12-04 11:34:00+00:00,INR,1247800,86,uci_product_group_d3,addr_86b13af6f4bdb548,dev_86b13af6f4bdb548
ord_0000687,cus_78c5838f7bfc871f,2009-12-08T12:34:00Z,2009-12-11 12:34:00+00:00,INR,3048000,288,uci_product_group_86,addr_78c5838f7bfc871f,dev_78c5838f7bfc871f
ord_0000420,cus_c2c4018418dbc962,2009-12-04T15:11:00Z,2009-12-11 15:11:00+00:00,INR,3076500,201,uci_product_group_73,addr_c2c4018418dbc962,v2_shared_device_0026
