refund_request_id,payment_id,merchant_id,order_id,currency,captured_amount_paise,amount_refunded_paise,active_reservation_amount_paise,refundable_balance_paise,payment_status,payment_exists,merchant_matches,currency_matches,snapshot_as_of,source
v2_rr_0000000,v2_pay_0000000,v2_benchmark_merchant,ord_0000043,INR,4823000,0,0,4823000,captured,True,True,True,2009-12-06T18:41:19.249557792Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000001,v2_pay_0000001,v2_benchmark_merchant,ord_0000258,INR,1145500,131084,0,1014416,captured,True,True,True,2009-12-06T19:44:33.688760548Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000002,v2_pay_0000002,v2_benchmark_merchant,ord_0000181,INR,1100500,0,0,1100500,captured,True,True,True,2009-12-08T00:32:07.285450918Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000003,v2_pay_0000003,v2_benchmark_merchant,ord_0000064,INR,2939500,0,0,2939500,captured,True,True,True,2009-12-08T02:02:49.342741689Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000004,v2_pay_0000004,v2_benchmark_merchant,ord_0000071,INR,3193800,0,0,3193800,captured,True,True,True,2009-12-08T18:29:15.704848981Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000005,v2_pay_0000005,v2_benchmark_merchant,ord_0000060,INR,3672800,0,0,3672800,captured,True,True,True,2009-12-09T04:30:03.109198840Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000006,v2_pay_0000006,v2_benchmark_merchant,ord_0000133,INR,2666000,0,0,2666000,captured,True,True,True,2009-12-09T06:45:09.069889687Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000007,v2_pay_0000007,v2_benchmark_merchant,ord_0000134,INR,2215300,0,0,2215300,captured,True,True,True,2009-12-09T10:59:36.576488188Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000008,v2_pay_0000008,v2_benchmark_merchant,ord_0000087,INR,4993600,340083,0,4653517,captured,True,True,True,2009-12-09T13:47:17.732841526Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000009,v2_pay_0000009,v2_benchmark_merchant,ord_0000492,INR,1182600,0,0,1182600,captured,True,True,True,2009-12-09T14:05:12.113730937Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000010,v2_pay_0000010,v2_benchmark_merchant,ord_0000107,INR,2221200,389180,0,1832020,captured,True,True,True,2009-12-09T17:23:40.808047486Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000011,v2_pay_0000011,v2_benchmark_merchant,ord_0000061,INR,3196600,0,0,3196600,captured,True,True,True,2009-12-10T01:04:47.022636984Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000012,v2_pay_0000012,v2_benchmark_merchant,ord_0000102,INR,8575400,0,0,8575400,captured,True,True,True,2009-12-10T02:23:08.819862093Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000013,v2_pay_0000013,v2_benchmark_merchant,ord_0000427,INR,9900000,0,0,9900000,captured,True,True,True,2009-12-10T02:27:44.409606510Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000014,v2_pay_0000014,v2_benchmark_merchant,ord_0000074,INR,8223700,0,0,8223700,captured,True,True,True,2009-12-10T17:38:09.497903997Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000015,v2_pay_0000015,v2_benchmark_merchant,ord_0000092,INR,63500,0,0,63500,captured,True,True,True,2009-12-10T18:32:35.189826422Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000016,v2_pay_0000016,v2_benchmark_merchant,ord_0000227,INR,47342400,0,0,47342400,captured,True,True,True,2009-12-10T19:36:35.275720484Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000017,v2_pay_0000017,v2_benchmark_merchant,ord_0000034,INR,6333300,0,0,6333300,captured,True,True,True,2009-12-11T04:23:35.026545049Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000018,v2_pay_0000018,v2_benchmark_merchant,ord_0000200,INR,897000,0,0,897000,captured,True,True,True,2009-12-11T05:52:23.981648043Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000019,v2_pay_0000019,v2_benchmark_merchant,ord_0000237,INR,1191000,0,0,1191000,captured,True,True,True,2009-12-11T12:48:07.981586977Z,SIMULATED_PAYMENT_LEDGER
v2_rr_0000020,v2_pay_0000020,v2_benchmark_merchant,ord_0000417,INR,7265700,1848260,0,5417440,captured,True,True,True,2009-12-11T16:42:30.245943678Z,SIMULATED_PAYMENT_LEDGER
