refund_ledger_entry_id,payment_id,merchant_id,amount_paise,currency,status,created_at,processed_at,idempotency_key
v2_prior_0000000,v2_pay_0000001,v2_benchmark_merchant,131084,INR,succeeded,2009-11-29T19:44:33.688760548Z,2009-11-30T19:44:33.688760548Z,v2_prior_key_0000000
v2_prior_0000001,v2_pay_0000008,v2_benchmark_merchant,340083,INR,succeeded,2009-12-02T13:47:17.732841526Z,2009-12-03T13:47:17.732841526Z,v2_prior_key_0000001
v2_prior_0000002,v2_pay_0000010,v2_benchmark_merchant,389180,INR,succeeded,2009-12-02T17:23:40.808047486Z,2009-12-03T17:23:40.808047486Z,v2_prior_key_0000002
v2_prior_0000003,v2_pay_0000020,v2_benchmark_merchant,1848260,INR,succeeded,2009-12-04T16:42:30.245943678Z,2009-12-05T16:42:30.245943678Z,v2_prior_key_0000003
v2_prior_0000004,v2_pay_0000021,v2_benchmark_merchant,279794,INR,succeeded,2009-12-04T22:32:26.793144903Z,2009-12-05T22:32:26.793144903Z,v2_prior_key_0000004
v2_prior_0000005,v2_pay_0000032,v2_benchmark_merchant,15746,INR,succeeded,2009-12-05T22:59:14.218094590Z,2009-12-06T22:59:14.218094590Z,v2_prior_key_0000005
v2_prior_0000006,v2_pay_0000036,v2_benchmark_merchant,364235,INR,succeeded,2009-12-06T09:38:03.301700539Z,2009-12-07T09:38:03.301700539Z,v2_prior_key_0000006
v2_prior_0000007,v2_pay_0000043,v2_benchmark_merchant,397133,INR,succeeded,2009-12-07T12:41:52.556827Z,2009-12-08T12:41:52.556827Z,v2_prior_key_0000007
v2_prior_0000008,v2_pay_0000063,v2_benchmark_merchant,581127,INR,succeeded,2009-12-09T11:38:16.657588202Z,2009-12-10T11:38:16.657588202Z,v2_prior_key_0000008
v2_prior_0000009,v2_pay_0000067,v2_benchmark_merchant,296419,INR,succeeded,2009-12-09T18:30:00.780233418Z,2009-12-10T18:30:00.780233418Z,v2_prior_key_0000009
v2_prior_0000010,v2_pay_0000076,v2_benchmark_merchant,1706110,INR,succeeded,2009-12-10T06:21:40.413794598Z,2009-12-11T06:21:40.413794598Z,v2_prior_key_0000010
v2_prior_0000011,v2_pay_0000077,v2_benchmark_merchant,615,INR,succeeded,2009-12-10T06:48:01.137315530Z,2009-12-11T06:48:01.137315530Z,v2_prior_key_0000011
v2_prior_0000012,v2_pay_0000080,v2_benchmark_merchant,877162,INR,succeeded,2009-12-10T14:03:17.032456822Z,2009-12-11T14:03:17.032456822Z,v2_prior_key_0000012
v2_prior_0000013,v2_pay_0000094,v2_benchmark_merchant,408329,INR,succeeded,2009-12-12T00:04:47.650264836Z,2009-12-13T00:04:47.650264836Z,v2_prior_key_0000013
v2_prior_0000014,v2_pay_0000101,v2_benchmark_merchant,1074904,INR,succeeded,2009-12-12T05:17:04.866243555Z,2009-12-13T05:17:04.866243555Z,v2_prior_key_0000014
v2_prior_0000015,v2_pay_0000103,v2_benchmark_merchant,1376318,INR,succeeded,2009-12-12T05:54:38.225632884Z,2009-12-13T05:54:38.225632884Z,v2_prior_key_0000015
v2_prior_0000016,v2_pay_0000111,v2_benchmark_merchant,708684,INR,succeeded,2009-12-12T20:46:01.223137880Z,2009-12-13T20:46:01.223137880Z,v2_prior_key_0000016
v2_prior_0000017,v2_pay_0000116,v2_benchmark_merchant,197679,INR,succeeded,2009-12-13T02:55:25.185367866Z,2009-12-14T02:55:25.185367866Z,v2_prior_key_0000017
v2_prior_0000018,v2_pay_0000118,v2_benchmark_merchant,275253,INR,succeeded,2009-12-13T05:54:56.902645345Z,2009-12-14T05:54:56.902645345Z,v2_prior_key_0000018
v2_prior_0000019,v2_pay_0000124,v2_benchmark_merchant,464035,INR,succeeded,2009-12-13T12:34:18.527798182Z,2009-12-14T12:34:18.527798182Z,v2_prior_key_0000019
v2_prior_0000020,v2_pay_0000126,v2_benchmark_merchant,334093,INR,succeeded,2009-12-13T20:50:08.824503020Z,2009-12-14T20:50:08.824503020Z,v2_prior_key_0000020
