refund_request_id,label_simulated,stage_a_action,verification_result,posterior_probability,final_action,exceeds_original_captured_amount,verifier_result_in_flow,posterior_risk_band,execution_status,ground_truth_class
rr_0006320,False,AUTO_APPROVE,consistent,0.004432508937619314,AUTO_APPROVE,False,NOT_REQUESTED,NOT_APPLICABLE,NOT_OBSERVED_V1_BATCH,SIMULATED_LEGITIMATE
rr_0006337,False,AUTO_APPROVE,consistent,1e-06,AUTO_APPROVE,False,NOT_REQUESTED,NOT_APPLICABLE,NOT_OBSERVED_V1_BATCH,SIMULATED_LEGITIMATE
rr_0006340,False,AUTO_APPROVE,consistent,1e-06,AUTO_APPROVE,False,NOT_REQUESTED,NOT_APPLICABLE,NOT_OBSERVED_V1_BATCH,SIMULATED_LEGITIMATE
rr_0006343,False,AUTO_APPROVE,consistent,1e-06,AUTO_APPROVE,False,NOT_REQUESTED,NOT_APPLICABLE,NOT_OBSERVED_V1_BATCH,SIMULATED_LEGITIMATE
rr_0006345,False,AUTO_APPROVE,inconclusive,0.022222222222222223,AUTO_APPROVE,False,NOT_REQUESTED,NOT_APPLICABLE,NOT_OBSERVED_V1_BATCH,SIMULATED_LEGITIMATE
rr_0006346,False,AUTO_APPROVE,consistent,0.0019793465426276163,AUTO_APPROVE,False,NOT_REQUESTED,NOT_APPLICABLE,NOT_OBSERVED_V1_BATCH,SIMULATED_LEGITIMATE
rr_0006347,False,AUTO_APPROVE,consistent,0.0018945899907631882,AUTO_APPROVE,False,NOT_REQUESTED,NOT_APPLICABLE,NOT_OBSERVED_V1_BATCH,SIMULATED_LEGITIMATE
rr_0006348,False,AUTO_APPROVE,consistent,0.004432508937619314,AUTO_APPROVE,False,NOT_REQUESTED,NOT_APPLICABLE,NOT_OBSERVED_V1_BATCH,SIMULATED_LEGITIMATE
rr_0006358,False,AUTO_APPROVE,consistent,1e-06,AUTO_APPROVE,False,NOT_REQUESTED,NOT_APPLICABLE,NOT_OBSERVED_V1_BATCH,SIMULATED_LEGITIMATE
rr_0006366,False,AUTO_APPROVE,consistent,1e-06,AUTO_APPROVE,False,NOT_REQUESTED,NOT_APPLICABLE,NOT_OBSERVED_V1_BATCH,SIMULATED_LEGITIMATE
